epoch,AUC,accuracy,binary_accuracy,loss,precision,recall,val_AUC,val_accuracy,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.5274724960327148,0.7170868515968323,0.7170868515968323,0.830170214176178,0.2926829159259796,0.1428571492433548,0.9186676144599915,0.7662337422370911,0.7662337422370911,0.49674320220947266,0.0,0.0
1,0.8073216080665588,0.7703081369400024,0.7703081369400024,0.4500664174556732,0.6000000238418579,0.0714285746216774,0.9177260398864746,0.7662337422370911,0.7662337422370911,0.34466636180877686,0.0,0.0
2,0.8860108852386475,0.7871148586273193,0.7871148586273193,0.3838120996952057,0.6666666865348816,0.190476194024086,0.9357345104217529,0.7662337422370911,0.7662337422370911,0.35760241746902466,0.0,0.0
3,0.9043694734573364,0.7815126180648804,0.7815126180648804,0.34873318672180176,0.6666666865348816,0.1428571492433548,0.9425612688064575,0.9025974273681641,0.9025974273681641,0.26415422558784485,0.8387096524238586,0.7222222089767456
4,0.9133524894714355,0.8291316628456116,0.8291316628456116,0.3266920745372772,0.7017543911933899,0.4761904776096344,0.9456214904785156,0.7857142686843872,0.7857142686843872,0.328972727060318,1.0,0.0833333358168602
5,0.9362680912017822,0.8403361439704895,0.8403361439704895,0.2939554750919342,0.7755101919174194,0.4523809552192688,0.9403248429298401,0.8116883039474487,0.8116883039474487,0.4689468741416931,0.8888888955116272,0.2222222238779068
6,0.9479547739028931,0.8935574293136597,0.8935574293136597,0.24440594017505646,0.8026315569877625,0.726190447807312,0.9580979347229004,0.8831169009208679,0.8831169009208679,0.3266504406929016,0.875,0.5833333134651184
7,0.9709576368331909,0.9159663915634155,0.9159663915634155,0.19489017128944397,0.8461538553237915,0.7857142686843872,0.9573917388916016,0.9285714030265808,0.9285714030265808,0.2755531668663025,0.9032257795333862,0.7777777910232544
8,0.9798535108566284,0.924369752407074,0.924369752407074,0.15545576810836792,0.8352941274642944,0.8452380895614624,0.9504472017288208,0.9220778942108154,0.9220778942108154,0.26924028992652893,0.8529411554336548,0.8055555820465088
9,0.9897522926330566,0.9495798349380493,0.9495798349380493,0.10925007611513138,0.875,0.9166666865348816,0.9443266987800598,0.9025974273681641,0.9025974273681641,0.28580114245414734,0.8181818127632141,0.75
10,0.994527280330658,0.9663865566253662,0.9663865566253662,0.08000236749649048,0.8999999761581421,0.9642857313156128,0.9356167316436768,0.9285714030265808,0.9285714030265808,0.33191123604774475,0.8571428656578064,0.8333333134651184
11,0.9967512488365173,0.9719887971878052,0.9719887971878052,0.06335057318210602,0.9204545617103577,0.9642857313156128,0.9403248429298401,0.9220778942108154,0.9220778942108154,0.35723912715911865,0.8999999761581421,0.75
12,0.9972309470176697,0.9747899174690247,0.9747899174690247,0.05702779069542885,0.9213483333587646,0.976190447807312,0.9453861117362976,0.9285714030265808,0.9285714030265808,0.29358235001564026,0.9032257795333862,0.7777777910232544
13,0.9981685280799866,0.9747899174690247,0.9747899174690247,0.04537579044699669,0.9411764740943909,0.9523809552192688,0.9282014966011047,0.9220778942108154,0.9220778942108154,0.40860629081726074,0.8999999761581421,0.75
