epoch,AUC,accuracy,binary_accuracy,loss,precision,recall,val_AUC,val_accuracy,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.6814138293266296,0.7066666483879089,0.7066666483879089,0.886776864528656,0.3958333432674408,0.28358209133148193,0.0,0.29646018147468567,0.29646018147468567,0.900559663772583,1.0,0.29646018147468567
1,0.9128907918930054,0.8419047594070435,0.8419047594070435,0.31858447194099426,0.7039999961853027,0.6567164063453674,0.0,0.48672565817832947,0.48672565817832947,0.9795375466346741,1.0,0.48672565817832947
2,0.9416821599006653,0.8799999952316284,0.8799999952316284,0.26986163854599,0.7933884263038635,0.7164179086685181,0.0,0.7831858396530151,0.7831858396530151,0.5459802150726318,1.0,0.7831858396530151
3,0.9560444951057434,0.8933333158493042,0.8933333158493042,0.23661820590496063,0.8196721076965332,0.746268630027771,0.0,0.5884955525398254,0.5884955525398254,0.8378017544746399,1.0,0.5884955525398254
4,0.9720101356506348,0.9085714221000671,0.9085714221000671,0.18459682166576385,0.8307692408561707,0.8059701323509216,0.0,0.6858407258987427,0.6858407258987427,0.7143758535385132,1.0,0.6858407258987427
5,0.9794251918792725,0.9371428489685059,0.9371428489685059,0.16294267773628235,0.8914728760719299,0.858208954334259,0.0,0.5486725568771362,0.5486725568771362,0.9524369835853577,1.0,0.5486725568771362
6,0.9810760617256165,0.9371428489685059,0.9371428489685059,0.15281295776367188,0.8740741014480591,0.8805969953536987,0.0,0.7123894095420837,0.7123894095420837,0.7661467790603638,1.0,0.7123894095420837
7,0.9894834756851196,0.9485714435577393,0.9485714435577393,0.11710657179355621,0.902255654335022,0.89552241563797,0.0,0.8451327681541443,0.8451327681541443,0.600643515586853,1.0,0.8451327681541443
8,0.993090808391571,0.9599999785423279,0.9599999785423279,0.09805124253034592,0.9520000219345093,0.888059675693512,0.0,0.8628318309783936,0.8628318309783936,0.5093619227409363,1.0,0.8628318309783936
9,0.9890064001083374,0.9485714435577393,0.9485714435577393,0.11432190239429474,0.8905109763145447,0.9104477763175964,0.0,0.6858407258987427,0.6858407258987427,0.8270130753517151,1.0,0.6858407258987427
10,0.9943981766700745,0.9752380847930908,0.9752380847930908,0.08826067298650742,0.9618320465087891,0.9402984976768494,0.0,0.8495575189590454,0.8495575189590454,0.4943220615386963,1.0,0.8495575189590454
11,0.9988643527030945,0.9847618937492371,0.9847618937492371,0.04368261992931366,0.9846153855323792,0.9552238583564758,0.0,0.8584070801734924,0.8584070801734924,0.6619235277175903,1.0,0.8584070801734924
12,0.9974997639656067,0.9809523820877075,0.9809523820877075,0.055659178644418716,0.9626865386962891,0.9626865386962891,0.0,0.8274336457252502,0.8274336457252502,0.6766346096992493,1.0,0.8274336457252502
13,0.9952284097671509,0.9752380847930908,0.9752380847930908,0.07758861780166626,0.9481481313705444,0.9552238583564758,0.0,0.8584070801734924,0.8584070801734924,0.5967814922332764,1.0,0.8584070801734924
14,0.995972752571106,0.9809523820877075,0.9809523820877075,0.06826435029506683,0.9696969985961914,0.9552238583564758,0.0,0.8628318309783936,0.8628318309783936,0.6194142699241638,1.0,0.8628318309783936
15,0.9965836405754089,0.9809523820877075,0.9809523820877075,0.06078793853521347,0.9558823704719543,0.9701492786407471,0.0,0.7876105904579163,0.7876105904579163,0.9280348420143127,1.0,0.7876105904579163
16,0.9998282194137573,0.9961904883384705,0.9961904883384705,0.019359178841114044,1.0,0.9850746393203735,0.0,0.769911527633667,0.769911527633667,1.1622377634048462,1.0,0.769911527633667
17,0.9982154369354248,0.9828571677207947,0.9828571677207947,0.04489196091890335,0.956204354763031,0.9776119589805603,0.0,0.8008849620819092,0.8008849620819092,0.9231299757957458,1.0,0.8008849620819092
18,0.9978241920471191,0.9828571677207947,0.9828571677207947,0.05005495622754097,0.969924807548523,0.9626865386962891,0.0,0.8097345232963562,0.8097345232963562,0.8966593742370605,1.0,0.8097345232963562
19,0.9998282194137573,0.9961904883384705,0.9961904883384705,0.016741590574383736,0.9925373196601868,0.9925373196601868,0.0,0.7433628439903259,0.7433628439903259,1.1534940004348755,1.0,0.7433628439903259
20,0.9996659755706787,0.9942857027053833,0.9942857027053833,0.02018328569829464,0.9851852059364319,0.9925373196601868,0.0,0.730088472366333,0.730088472366333,1.4149460792541504,1.0,0.730088472366333
