epoch,AUC,accuracy,binary_accuracy,loss,precision,recall,val_AUC,val_accuracy,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.7245333194732666,0.7731092572212219,0.7731092572212219,6.596983909606934,0.5161290168762207,0.5714285969734192,0.968338131904602,0.9350649118423462,0.9350649118423462,0.19090038537979126,1.0,0.7222222089767456
1,0.9723312854766846,0.9467787146568298,0.9467787146568298,0.17324775457382202,0.9012345671653748,0.8690476417541504,0.9430319666862488,0.9285714030265808,0.9285714030265808,0.31276464462280273,1.0,0.6944444179534912
2,0.9940040707588196,0.9691876769065857,0.9691876769065857,0.08601130545139313,0.9620253443717957,0.9047619104385376,0.9919962882995605,0.948051929473877,0.948051929473877,0.09557127207517624,0.9666666388511658,0.8055555820465088
3,0.9828187227249146,0.9663865566253662,0.9663865566253662,0.12706270813941956,0.9615384340286255,0.8928571343421936,0.9863466024398804,0.9285714030265808,0.9285714030265808,0.12164472788572311,0.8205128312110901,0.8888888955116272
4,0.9907989501953125,0.9831932783126831,0.9831932783126831,0.09123393148183823,0.9534883499145508,0.976190447807312,0.9294962882995605,0.9545454382896423,0.9545454382896423,0.36403459310531616,1.0,0.8055555820465088
5,0.9929792284965515,0.9831932783126831,0.9831932783126831,0.07251472771167755,0.9642857313156128,0.9642857313156128,0.8888888955116272,0.9415584206581116,0.9415584206581116,0.6332104206085205,1.0,0.75
6,0.9931101202964783,0.9887955188751221,0.9887955188751221,0.06437492370605469,0.9878048896789551,0.9642857313156128,0.9477400183677673,0.9350649118423462,0.9350649118423462,0.24122406542301178,0.90625,0.8055555820465088
7,0.9790250658988953,0.9803921580314636,0.9803921580314636,0.17007236182689667,0.9753086566925049,0.9404761791229248,0.9152541756629944,0.9415584206581116,0.9415584206581116,0.31216588616371155,1.0,0.75
8,1.0,1.0,1.0,0.0005283638020046055,1.0,1.0,0.9411487579345703,0.9545454382896423,0.9545454382896423,0.24717554450035095,1.0,0.8055555820465088
9,1.0,1.0,1.0,4.6285778807941824e-05,1.0,1.0,0.9166666269302368,0.948051929473877,0.948051929473877,0.41058027744293213,1.0,0.7777777910232544
10,1.0,1.0,1.0,3.0262312975537498e-06,1.0,1.0,0.9166666269302368,0.948051929473877,0.948051929473877,0.4614066183567047,1.0,0.7777777910232544
11,1.0,1.0,1.0,1.7294011058766046e-06,1.0,1.0,0.9166666269302368,0.948051929473877,0.948051929473877,0.47438985109329224,1.0,0.7777777910232544
12,1.0,1.0,1.0,1.312642780249007e-06,1.0,1.0,0.9166666269302368,0.948051929473877,0.948051929473877,0.48166340589523315,1.0,0.7777777910232544
