"","accuracy","balanced_accuracy","fscore","seed","type_of_image","model"
"60",0.91324200913242,0.8546918767507,0.8,404,"rgb","rf"
"61",0.922374429223744,0.846988795518207,0.808988764044944,42,"rgb","rf"
"62",0.917808219178082,0.844012605042017,0.8,51,"rgb","rf"
"63",0.926940639269406,0.884103641456583,0.836734693877551,666,"rgb","rf"
"64",0.908675799086758,0.865371148459384,0.8,720,"rgb","rf"
"65",0.917808219178082,0.850840336134454,0.804347826086957,767,"rgb","rf"
"66",0.899543378995434,0.838935574229692,0.770833333333333,171,"rgb","ridge"
"67",0.931506849315068,0.866596638655462,0.835164835164835,269,"rgb","ridge"
"68",0.908675799086758,0.85171568627451,0.791666666666667,289,"rgb","ridge"
"69",0.908675799086758,0.844887955182073,0.787234042553192,376,"rgb","ridge"
"70",0.945205479452055,0.896008403361345,0.872340425531915,404,"rgb","ridge"
"71",0.926940639269406,0.849964985994398,0.818181818181818,42,"rgb","ridge"
"72",0.91324200913242,0.861519607843137,0.804123711340206,51,"rgb","ridge"
"73",0.945205479452055,0.923319327731092,0.882352941176471,666,"rgb","ridge"
"74",0.958904109589041,0.932247899159664,0.909090909090909,720,"rgb","ridge"
"75",0.931506849315068,0.859768907563025,0.831460674157303,767,"rgb","ridge"
"76",0.936073059360731,0.869572829131653,0.844444444444444,171,"rgb","svm"
"77",0.931506849315068,0.866596638655462,0.835164835164835,269,"rgb","svm"
"78",0.894977168949772,0.822303921568627,0.752688172043011,289,"rgb","svm"
"79",0.926940639269406,0.877275910364146,0.833333333333333,376,"rgb","svm"
"80",0.904109589041096,0.814600840336134,0.758620689655172,404,"rgb","svm"
"81",0.917808219178082,0.844012605042017,0.8,42,"rgb","svm"
"82",0.908675799086758,0.85171568627451,0.791666666666667,51,"rgb","svm"
"83",0.922374429223744,0.874299719887955,0.824742268041237,666,"rgb","svm"
"84",0.917808219178082,0.844012605042017,0.8,720,"rgb","svm"
"85",0.917808219178082,0.844012605042017,0.8,767,"rgb","svm"
"86",0.936363636363636,0.890126464787098,0.854166666666667,171,"rgb","vgg19_rgb"
"87",0.936363636363636,0.862745098039216,0.840909090909091,404,"rgb","vgg19_rgb"
"88",0.954545454545455,0.936187492748579,0.901960784313726,42,"rgb","vgg19_rgb"
"89",0.95,0.919538229492981,0.888888888888889,51,"rgb","vgg19_rgb"
"90",0.968181818181818,0.945063232393549,0.929292929292929,666,"rgb","vgg19_rgb"
