epoch,accuracy,binary_accuracy,loss,val_accuracy,val_binary_accuracy,val_loss
0,0.7871148586273193,0.7871148586273193,6.219182968139648,0.9675324559211731,0.9675324559211731,0.09747974574565887
1,0.9663865566253662,0.9663865566253662,0.10036472976207733,0.9610389471054077,0.9610389471054077,0.12367254495620728
2,0.9747899174690247,0.9747899174690247,0.11597369611263275,0.9675324559211731,0.9675324559211731,0.10188460350036621
3,0.9831932783126831,0.9831932783126831,0.07666408270597458,0.9740259647369385,0.9740259647369385,0.06407266855239868
4,0.9859943985939026,0.9859943985939026,0.03629453107714653,0.9675324559211731,0.9675324559211731,0.0837499350309372
5,0.9859943985939026,0.9859943985939026,0.038854170590639114,0.9545454382896423,0.9545454382896423,0.1738257110118866
6,0.9887955188751221,0.9887955188751221,0.08127349615097046,0.9545454382896423,0.9545454382896423,0.08528442680835724
7,0.9915966391563416,0.9915966391563416,0.025774095207452774,0.9610389471054077,0.9610389471054077,0.14528490602970123
8,0.9887955188751221,0.9887955188751221,0.026349583640694618,0.9545454382896423,0.9545454382896423,0.1639481633901596
9,0.9887955188751221,0.9887955188751221,0.07380516827106476,0.9675324559211731,0.9675324559211731,0.09636969119310379
10,0.9887955188751221,0.9887955188751221,0.04294464737176895,0.9415584206581116,0.9415584206581116,0.2825651466846466
11,0.9887955188751221,0.9887955188751221,0.051550671458244324,0.9675324559211731,0.9675324559211731,0.07626998424530029
12,0.994397759437561,0.994397759437561,0.01611253246665001,0.9740259647369385,0.9740259647369385,0.12488018721342087
13,0.994397759437561,0.994397759437561,0.020381346344947815,0.9740259647369385,0.9740259647369385,0.1467883586883545
