epoch,AUC,accuracy,binary_accuracy,loss,precision,recall,val_AUC,val_accuracy,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.8222222328186035,0.7815126180648804,0.7815126180648804,0.5201441049575806,0.5714285969734192,0.5333333611488342,0.9060483574867249,0.8311688303947449,0.8311688303947449,0.31119340658187866,0.5555555820465088,0.6666666865348816
1,0.9417603015899658,0.8795518279075623,0.8795518279075623,0.26084068417549133,0.7373737096786499,0.8111110925674438,0.9201613068580627,0.8701298832893372,0.8701298832893372,0.2991526424884796,0.65625,0.699999988079071
2,0.9757802486419678,0.9159663915634155,0.9159663915634155,0.1744299679994583,0.8191489577293396,0.855555534362793,0.9064515829086304,0.8961039185523987,0.8961039185523987,0.3547576367855072,0.75,0.699999988079071
3,0.9897211790084839,0.9495798349380493,0.9495798349380493,0.11232654005289078,0.8999999761581421,0.8999999761581421,0.9259408712387085,0.8701298832893372,0.8701298832893372,0.3435136377811432,0.6315789222717285,0.800000011920929
4,0.9926133751869202,0.9635854363441467,0.9635854363441467,0.0958157628774643,0.9139785170555115,0.9444444179534912,0.9064515829086304,0.8571428656578064,0.8571428656578064,0.41387081146240234,0.6666666865348816,0.5333333611488342
5,0.9939866662025452,0.9747899174690247,0.9747899174690247,0.07824084907770157,0.9450549483299255,0.9555555582046509,0.9115591645240784,0.8571428656578064,0.8571428656578064,0.41364315152168274,0.7222222089767456,0.4333333373069763
6,0.9954847693443298,0.9663865566253662,0.9663865566253662,0.07808990776538849,0.9431818127632141,0.9222221970558167,0.896774172782898,0.8311688303947449,0.8311688303947449,0.4917517900466919,0.6111111044883728,0.36666667461395264
7,0.9970245957374573,0.9747899174690247,0.9747899174690247,0.06368400156497955,0.9655172228813171,0.9333333373069763,0.9297042489051819,0.8961039185523987,0.8961039185523987,0.31806468963623047,0.7058823704719543,0.800000011920929
8,0.9979193210601807,0.9747899174690247,0.9747899174690247,0.05227728560566902,0.9550561904907227,0.9444444179534912,0.9177418947219849,0.8766233921051025,0.8766233921051025,0.5006234645843506,0.6341463327407837,0.8666666746139526
9,0.9966083765029907,0.9747899174690247,0.9747899174690247,0.05593922361731529,0.9450549483299255,0.9555555582046509,0.9276882410049438,0.8766233921051025,0.8766233921051025,0.3785572350025177,0.6666666865348816,0.7333333492279053
10,0.9979609251022339,0.9775910377502441,0.9775910377502441,0.05577334389090538,0.9555555582046509,0.9555555582046509,0.9162634611129761,0.8831169009208679,0.8831169009208679,0.36842241883277893,0.6666666865348816,0.800000011920929
11,0.9993341565132141,0.9831932783126831,0.9831932783126831,0.03438495099544525,0.95652174949646,0.9777777791023254,0.9188171625137329,0.8831169009208679,0.8831169009208679,0.3619009554386139,0.6666666865348816,0.800000011920929
