epoch,accuracy,binary_accuracy,loss,val_accuracy,val_binary_accuracy,val_loss
0,0.6699346303939819,0.6699346303939819,1.198590874671936,0.7575757503509521,0.7575757503509521,0.4966830611228943
1,0.7973856329917908,0.7973856329917908,0.39392539858818054,0.8636363744735718,0.8636363744735718,0.33367395401000977
2,0.8300653696060181,0.8300653696060181,0.34195202589035034,0.8333333134651184,0.8333333134651184,0.349587619304657
3,0.8235294222831726,0.8235294222831726,0.3476097583770752,0.8636363744735718,0.8636363744735718,0.3200799822807312
4,0.8398692607879639,0.8398692607879639,0.3207543194293976,0.8712121248245239,0.8712121248245239,0.30928200483322144
5,0.8692810535430908,0.8692810535430908,0.2613765597343445,0.8863636255264282,0.8863636255264282,0.2601727545261383
6,0.8823529481887817,0.8823529481887817,0.20091578364372253,0.8863636255264282,0.8863636255264282,0.26837965846061707
7,0.915032684803009,0.915032684803009,0.17726130783557892,0.8712121248245239,0.8712121248245239,0.288175493478775
8,0.9477124214172363,0.9477124214172363,0.11068908870220184,0.8787878751754761,0.8787878751754761,0.3264788091182709
9,0.9640522599220276,0.9640522599220276,0.11429610848426819,0.8712121248245239,0.8712121248245239,0.27593255043029785
10,0.9640522599220276,0.9640522599220276,0.11120469868183136,0.8863636255264282,0.8863636255264282,0.30252334475517273
11,0.9673202633857727,0.9673202633857727,0.11012286692857742,0.8863636255264282,0.8863636255264282,0.45949220657348633
12,0.9542483687400818,0.9542483687400818,0.1252903938293457,0.8712121248245239,0.8712121248245239,0.3018444776535034
13,0.9607843160629272,0.9607843160629272,0.10437166690826416,0.8560606241226196,0.8560606241226196,0.31767702102661133
14,0.9869281053543091,0.9869281053543091,0.06266487389802933,0.8939393758773804,0.8939393758773804,0.40298691391944885
15,0.970588207244873,0.970588207244873,0.05656499043107033,0.8484848737716675,0.8484848737716675,0.43000859022140503
