epoch,AUC,accuracy,binary_accuracy,loss,precision,recall,val_AUC,val_accuracy,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.6475666761398315,0.7086834907531738,0.7086834907531738,0.8673383593559265,0.3611111044883728,0.3095238208770752,0.8293313980102539,0.7662337422370911,0.7662337422370911,0.6179082989692688,0.0,0.0
1,0.726321280002594,0.7535014152526855,0.7535014152526855,0.48779296875,0.4166666567325592,0.1190476194024086,0.8165018558502197,0.7662337422370911,0.7662337422370911,0.48925113677978516,0.0,0.0
2,0.7764258980751038,0.761904776096344,0.761904776096344,0.4510117769241333,0.48148149251937866,0.1547619104385376,0.8805319666862488,0.7662337422370911,0.7662337422370911,0.4333381652832031,0.0,0.0
3,0.8513867259025574,0.7871148586273193,0.7871148586273193,0.3985287547111511,0.6176470518112183,0.25,0.9149011373519897,0.798701286315918,0.798701286315918,0.3980410695075989,1.0,0.1388888955116272
4,0.877136766910553,0.8039215803146362,0.8039215803146362,0.35631248354911804,0.6458333134651184,0.369047611951828,0.9270244240760803,0.8051947951316833,0.8051947951316833,0.3345182538032532,0.800000011920929,0.2222222238779068
5,0.9022544622421265,0.831932783126831,0.831932783126831,0.33569470047950745,0.699999988079071,0.5,0.9153719544410706,0.7792207598686218,0.7792207598686218,0.3390620946884155,0.75,0.0833333358168602
6,0.8987876772880554,0.8347339034080505,0.8347339034080505,0.3499855101108551,0.7358490824699402,0.4642857015132904,0.9158427715301514,0.8376623392105103,0.8376623392105103,0.3242764472961426,0.739130437374115,0.4722222089767456
7,0.9232295751571655,0.8459383845329285,0.8459383845329285,0.2961216866970062,0.7636363506317139,0.5,0.9262005090713501,0.8311688303947449,0.8311688303947449,0.3158417344093323,0.7777777910232544,0.3888888955116272
8,0.9283097386360168,0.848739504814148,0.848739504814148,0.2915719747543335,0.734375,0.5595238208770752,0.9319679737091064,0.8246753215789795,0.8246753215789795,0.3160827159881592,0.800000011920929,0.3333333432674408
9,0.9073783755302429,0.831932783126831,0.831932783126831,0.3268747925758362,0.699999988079071,0.5,0.9274953603744507,0.798701286315918,0.798701286315918,0.3444845676422119,0.7777777910232544,0.1944444477558136
10,0.9302502274513245,0.8655462265014648,0.8655462265014648,0.28931012749671936,0.78125,0.5952380895614624,0.9264359474182129,0.7922077775001526,0.7922077775001526,0.3646337687969208,0.75,0.1666666716337204
11,0.936486005783081,0.8739495873451233,0.8739495873451233,0.28057336807250977,0.7349397540092468,0.726190447807312,0.9247880578041077,0.8116883039474487,0.8116883039474487,0.36480027437210083,0.7692307829856873,0.2777777910232544
12,0.9367477297782898,0.8655462265014648,0.8655462265014648,0.27374255657196045,0.7368420958518982,0.6666666865348816,0.9287899732589722,0.8116883039474487,0.8116883039474487,0.3433452844619751,0.7333333492279053,0.3055555522441864
13,0.9510290622711182,0.8991596698760986,0.8991596698760986,0.2511988878250122,0.8428571224212646,0.7023809552192688,0.9357345104217529,0.8051947951316833,0.8051947951316833,0.3414417505264282,0.75,0.25
14,0.9605355262756348,0.8991596698760986,0.8991596698760986,0.22801335155963898,0.8636363744735718,0.6785714030265808,0.9390301704406738,0.8051947951316833,0.8051947951316833,0.3467484712600708,0.75,0.25
15,0.9635443687438965,0.8963585495948792,0.8963585495948792,0.2027600109577179,0.797468364238739,0.75,0.9435029029846191,0.8181818127632141,0.8181818127632141,0.3407366871833801,0.8999999761581421,0.25
16,0.9528170824050903,0.8963585495948792,0.8963585495948792,0.24167893826961517,0.8219178318977356,0.7142857313156128,0.9354990720748901,0.8311688303947449,0.8311688303947449,0.3321608901023865,0.8125,0.3611111044883728
17,0.9752310514450073,0.918767511844635,0.918767511844635,0.18488362431526184,0.8395061492919922,0.8095238208770752,0.9375,0.8311688303947449,0.8311688303947449,0.3314240276813507,0.8125,0.3611111044883728
