epoch,accuracy,binary_accuracy,loss,val_accuracy,val_binary_accuracy,val_loss
0,0.8011204600334167,0.8011204600334167,0.4554043710231781,0.7792207598686218,0.7792207598686218,0.3317273259162903
1,0.8683473467826843,0.8683473467826843,0.27688533067703247,0.8571428656578064,0.8571428656578064,0.278440922498703
2,0.9299719929695129,0.9299719929695129,0.1855165660381317,0.9155844449996948,0.9155844449996948,0.2465696930885315
3,0.9467787146568298,0.9467787146568298,0.1553281843662262,0.9025974273681641,0.9025974273681641,0.29193052649497986
4,0.9607843160629272,0.9607843160629272,0.12861722707748413,0.9155844449996948,0.9155844449996948,0.24681507050991058
5,0.9663865566253662,0.9663865566253662,0.07542500644922256,0.9285714030265808,0.9285714030265808,0.26410239934921265
6,0.9803921580314636,0.9803921580314636,0.05871039628982544,0.9220778942108154,0.9220778942108154,0.24953344464302063
7,0.994397759437561,0.994397759437561,0.024015363305807114,0.9155844449996948,0.9155844449996948,0.2911650538444519
8,0.9971988797187805,0.9971988797187805,0.014782625250518322,0.9155844449996948,0.9155844449996948,0.30655428767204285
9,1.0,1.0,0.004455930553376675,0.9025974273681641,0.9025974273681641,0.3740653097629547
10,1.0,1.0,0.0028268969617784023,0.9155844449996948,0.9155844449996948,0.3652189075946808
11,1.0,1.0,0.001959549728780985,0.9025974273681641,0.9025974273681641,0.41463181376457214
12,1.0,1.0,0.0022943303920328617,0.9220778942108154,0.9220778942108154,0.47723516821861267
