epoch,AUC,accuracy,binary_accuracy,loss,precision,recall,val_AUC,val_accuracy,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.7635787129402161,0.7815126180648804,0.7815126180648804,0.7699439525604248,0.5,0.07692307978868484,0.8707482814788818,0.7272727489471436,0.7272727489471436,0.4090936481952667,0.5,0.095238097012043
1,0.8991360664367676,0.8207283020019531,0.8207283020019531,0.328574001789093,0.71875,0.29487180709838867,0.8664965629577637,0.8051947951316833,0.8051947951316833,0.43407905101776123,0.699999988079071,0.5
2,0.9063275456428528,0.8571428656578064,0.8571428656578064,0.31071674823760986,0.7076923251152039,0.5897436141967773,0.872342586517334,0.8051947951316833,0.8051947951316833,0.44905129075050354,0.75,0.4285714328289032
3,0.917356014251709,0.8599439859390259,0.8599439859390259,0.28756603598594666,0.71875,0.5897436141967773,0.8745748996734619,0.8051947951316833,0.8051947951316833,0.412548691034317,0.6764705777168274,0.5476190447807312
4,0.9340134859085083,0.8627451062202454,0.8627451062202454,0.262209951877594,0.7230769395828247,0.6025640964508057,0.866602897644043,0.8181818127632141,0.8181818127632141,0.4434070885181427,0.675000011920929,0.6428571343421936
5,0.9449039101600647,0.8795518279075623,0.8795518279075623,0.2562672197818756,0.7333333492279053,0.7051281929016113,0.8695790767669678,0.8116883039474487,0.8116883039474487,0.42434126138687134,0.644444465637207,0.6904761791229248
6,0.9381260871887207,0.8627451062202454,0.8627451062202454,0.2506578862667084,0.6883116960525513,0.6794871687889099,0.8703230619430542,0.8246753215789795,0.8246753215789795,0.49325883388519287,0.692307710647583,0.6428571343421936
7,0.9491775631904602,0.8683473467826843,0.8683473467826843,0.21758276224136353,0.6913580298423767,0.7179487347602844,0.8594812750816345,0.8246753215789795,0.8246753215789795,0.5050226449966431,0.6530612111091614,0.761904776096344
8,0.9464433193206787,0.8683473467826843,0.8683473467826843,0.22267401218414307,0.6913580298423767,0.7179487347602844,0.8600127100944519,0.8116883039474487,0.8116883039474487,0.5383316278457642,0.6511628031730652,0.6666666865348816
9,0.9575406908988953,0.9047619104385376,0.9047619104385376,0.2115807831287384,0.7682926654815674,0.807692289352417,0.8607568144798279,0.8051947951316833,0.8051947951316833,0.5611582398414612,0.6428571343421936,0.6428571343421936
10,0.9647550582885742,0.9047619104385376,0.9047619104385376,0.1917426735162735,0.7972972989082336,0.7564102411270142,0.8503401279449463,0.8051947951316833,0.8051947951316833,0.7248397469520569,0.7307692170143127,0.4523809552192688
