epoch,AUC,accuracy,binary_accuracy,loss,precision,recall,val_AUC,val_accuracy,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.4800359010696411,0.5866666436195374,0.5866666436195374,1.4332051277160645,0.24848484992980957,0.305970162153244,0.0,0.0,0.0,0.7343170642852783,0.0,0.0
1,0.6166641116142273,0.7161904573440552,0.7161904573440552,0.5868847966194153,0.2857142984867096,0.0746268630027771,0.0,0.0,0.0,0.922135591506958,0.0,0.0
2,0.8014849424362183,0.7295238375663757,0.7295238375663757,0.457297146320343,0.4166666567325592,0.1492537260055542,0.0,0.0,0.0,1.0116047859191895,0.0,0.0
3,0.8746231198310852,0.7885714173316956,0.7885714173316956,0.3801466226577759,0.6666666865348816,0.34328359365463257,0.0,0.2345132678747177,0.2345132678747177,0.9156926274299622,1.0,0.2345132678747177
4,0.8949116468429565,0.7828571200370789,0.7828571200370789,0.3574782907962799,0.65625,0.31343284249305725,0.0,0.20353981852531433,0.20353981852531433,1.0339902639389038,1.0,0.20353981852531433
5,0.9041970372200012,0.800000011920929,0.800000011920929,0.3442186117172241,0.7301587462425232,0.34328359365463257,0.0,0.2610619366168976,0.2610619366168976,1.0068358182907104,1.0,0.2610619366168976
6,0.9320247173309326,0.8152381181716919,0.8152381181716919,0.29730790853500366,0.7846153974533081,0.3805970251560211,0.0,0.4690265357494354,0.4690265357494354,0.9236426949501038,1.0,0.4690265357494354
7,0.9465778470039368,0.8533333539962769,0.8533333539962769,0.271307110786438,0.8131868243217468,0.5522388219833374,0.0,0.4115044176578522,0.4115044176578522,1.179457426071167,1.0,0.4115044176578522
8,0.9394012689590454,0.8704761862754822,0.8704761862754822,0.27734774351119995,0.7661290168762207,0.7089552283287048,0.0,0.5707964897155762,0.5707964897155762,0.967266857624054,1.0,0.5707964897155762
9,0.9403460621833801,0.8857142925262451,0.8857142925262451,0.2642100155353546,0.7681159377098083,0.7910447716712952,0.0,0.5752212405204773,0.5752212405204773,0.8414608836174011,1.0,0.5752212405204773
10,0.9306026697158813,0.8666666746139526,0.8666666746139526,0.2990258038043976,0.7051281929016113,0.8208954930305481,0.0,0.6725663542747498,0.6725663542747498,0.8139650225639343,1.0,0.6725663542747498
