epoch,accuracy,binary_accuracy,loss,val_accuracy,val_binary_accuracy,val_loss
0,0.8123249411582947,0.8123249411582947,3.8663713932037354,0.8831169009208679,0.8831169009208679,0.46098649501800537
1,0.9523809552192688,0.9523809552192688,0.16535115242004395,0.8896104097366333,0.8896104097366333,0.19737018644809723
2,0.9859943985939026,0.9859943985939026,0.060171693563461304,0.9740259647369385,0.9740259647369385,0.14241567254066467
3,0.9719887971878052,0.9719887971878052,0.11883887648582458,0.9545454382896423,0.9545454382896423,0.1320427507162094
4,0.9775910377502441,0.9775910377502441,0.054255273193120956,0.9285714030265808,0.9285714030265808,0.2269875854253769
5,0.9887955188751221,0.9887955188751221,0.026021147146821022,0.9025974273681641,0.9025974273681641,0.32155555486679077
6,0.994397759437561,0.994397759437561,0.02196047268807888,0.8831169009208679,0.8831169009208679,0.6561529040336609
7,0.9663865566253662,0.9663865566253662,0.14014844596385956,0.9805194735527039,0.9805194735527039,0.06000005453824997
8,0.9915966391563416,0.9915966391563416,0.03166276589035988,0.7467532753944397,0.7467532753944397,0.8764945864677429
9,0.9607843160629272,0.9607843160629272,0.13936711847782135,0.8766233921051025,0.8766233921051025,0.6085671782493591
10,0.9831932783126831,0.9831932783126831,0.08269071578979492,0.9415584206581116,0.9415584206581116,0.2331315129995346
11,0.9831932783126831,0.9831932783126831,0.04772927239537239,0.8766233921051025,0.8766233921051025,0.3644787669181824
12,0.9747899174690247,0.9747899174690247,0.08192695677280426,0.9740259647369385,0.9740259647369385,0.0582648441195488
13,0.994397759437561,0.994397759437561,0.01970956102013588,0.9025974273681641,0.9025974273681641,0.43515023589134216
14,0.994397759437561,0.994397759437561,0.0203095655888319,0.8896104097366333,0.8896104097366333,0.6362661123275757
15,0.9887955188751221,0.9887955188751221,0.04090296849608421,0.9675324559211731,0.9675324559211731,0.0988185927271843
16,0.994397759437561,0.994397759437561,0.019967034459114075,0.9675324559211731,0.9675324559211731,0.07212810218334198
17,0.9859943985939026,0.9859943985939026,0.02097122184932232,0.9610389471054077,0.9610389471054077,0.10780274868011475
18,0.994397759437561,0.994397759437561,0.016337279230356216,0.9740259647369385,0.9740259647369385,0.054152172058820724
19,0.9915966391563416,0.9915966391563416,0.01197511050850153,0.9805194735527039,0.9805194735527039,0.055681388825178146
20,0.994397759437561,0.994397759437561,0.012318119406700134,0.9870129823684692,0.9870129823684692,0.058416057378053665
21,0.9887955188751221,0.9887955188751221,0.008411494083702564,0.9805194735527039,0.9805194735527039,0.0635770633816719
22,0.9887955188751221,0.9887955188751221,0.008177803829312325,0.9805194735527039,0.9805194735527039,0.06748055666685104
23,0.9887955188751221,0.9887955188751221,0.008192179724574089,0.9870129823684692,0.9870129823684692,0.07174050807952881
24,0.9887955188751221,0.9887955188751221,0.008101371116936207,0.9870129823684692,0.9870129823684692,0.07219656556844711
25,0.9915966391563416,0.9915966391563416,0.00809217058122158,0.9870129823684692,0.9870129823684692,0.07246945053339005
26,0.9887955188751221,0.9887955188751221,0.008028090000152588,0.9870129823684692,0.9870129823684692,0.0728878378868103
27,0.9887955188751221,0.9887955188751221,0.00799783319234848,0.9870129823684692,0.9870129823684692,0.07320728152990341
28,0.9887955188751221,0.9887955188751221,0.007995754480361938,0.9870129823684692,0.9870129823684692,0.07330268621444702
