epoch,accuracy,binary_accuracy,loss,val_accuracy,val_binary_accuracy,val_loss
0,0.7871148586273193,0.7871148586273193,0.5041204690933228,0.8571428656578064,0.8571428656578064,0.3091544508934021
1,0.9103641510009766,0.9103641510009766,0.23187704384326935,0.9220778942108154,0.9220778942108154,0.24455396831035614
2,0.9299719929695129,0.9299719929695129,0.19976244866847992,0.9090909361839294,0.9090909361839294,0.23383039236068726
3,0.9551820755004883,0.9551820755004883,0.12105006724596024,0.9090909361839294,0.9090909361839294,0.2732078433036804
4,0.9635854363441467,0.9635854363441467,0.08719601482152939,0.9025974273681641,0.9025974273681641,0.24405717849731445
5,0.9887955188751221,0.9887955188751221,0.039259567856788635,0.9025974273681641,0.9025974273681641,0.3190888464450836
6,0.994397759437561,0.994397759437561,0.01904943771660328,0.9155844449996948,0.9155844449996948,0.3501184284687042
7,0.9971988797187805,0.9971988797187805,0.012604077346622944,0.9090909361839294,0.9090909361839294,0.45484915375709534
8,0.9915966391563416,0.9915966391563416,0.02652510441839695,0.9025974273681641,0.9025974273681641,0.34703677892684937
9,0.994397759437561,0.994397759437561,0.020840061828494072,0.8961039185523987,0.8961039185523987,0.46285316348075867
10,0.9971988797187805,0.9971988797187805,0.012433072552084923,0.9220778942108154,0.9220778942108154,0.39654460549354553
11,0.994397759437561,0.994397759437561,0.011612467467784882,0.9155844449996948,0.9155844449996948,0.524913489818573
12,0.9971988797187805,0.9971988797187805,0.013118435628712177,0.9220778942108154,0.9220778942108154,0.3918704390525818
